GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0500000US05027,05027,"Columbia County, Arkansas",20045,988,(X),(X)
0500000US05029,05029,"Conway County, Arkansas",21897,1290,(X),(X)
0500000US05031,05031,"Craighead County, Arkansas",23091,902,(X),(X)
0500000US05033,05033,"Crawford County, Arkansas",20849,1076,(X),(X)
0500000US05035,05035,"Crittenden County, Arkansas",19682,732,(X),(X)
0500000US05037,05037,"Cross County, Arkansas",19543,1160,(X),(X)
0500000US05039,05039,"Dallas County, Arkansas",17868,1185,(X),(X)
0500000US05041,05041,"Desha County, Arkansas",17788,1427,(X),(X)
0500000US05043,05043,"Drew County, Arkansas",17481,1227,(X),(X)
0500000US05045,05045,"Faulkner County, Arkansas",24603,803,(X),(X)
0500000US05047,05047,"Franklin County, Arkansas",19550,1205,(X),(X)
0500000US05049,05049,"Fulton County, Arkansas",19163,1508,(X),(X)
0500000US05051,05051,"Garland County, Arkansas",24070,999,(X),(X)
0500000US05053,05053,"Grant County, Arkansas",23686,1840,(X),(X)
0500000US05055,05055,"Greene County, Arkansas",20689,745,(X),(X)
0500000US05057,05057,"Hempstead County, Arkansas",17049,1186,(X),(X)
0500000US05059,05059,"Hot Spring County, Arkansas",18956,1150,(X),(X)
0500000US05061,05061,"Howard County, Arkansas",21273,2299,(X),(X)
0500000US05063,05063,"Independence County, Arkansas",20242,1251,(X),(X)
0500000US05065,05065,"Izard County, Arkansas",18995,1195,(X),(X)
0500000US05067,05067,"Jackson County, Arkansas",17797,1573,(X),(X)
0500000US05069,05069,"Jefferson County, Arkansas",19885,788,(X),(X)
0500000US05071,05071,"Johnson County, Arkansas",19341,1780,(X),(X)
0500000US05073,05073,"Lafayette County, Arkansas",20904,2465,(X),(X)
0500000US05075,05075,"Lawrence County, Arkansas",17312,763,(X),(X)
0500000US05077,05077,"Lee County, Arkansas",14298,970,(X),(X)
0500000US05079,05079,"Lincoln County, Arkansas",14377,1468,(X),(X)
0500000US05081,05081,"Little River County, Arkansas",19858,1315,(X),(X)
0500000US05083,05083,"Logan County, Arkansas",20011,1171,(X),(X)
0500000US05085,05085,"Lonoke County, Arkansas",23555,591,(X),(X)
0500000US05087,05087,"Madison County, Arkansas",20693,1461,(X),(X)
0500000US05089,05089,"Marion County, Arkansas",17779,974,(X),(X)
0500000US05091,05091,"Miller County, Arkansas",21104,931,(X),(X)
0500000US05093,05093,"Mississippi County, Arkansas",19073,688,(X),(X)
